environment_type	batch_size	elapsed_time	elapsed_time_per_op
epochlock_op	1	891.7119710445404	2.7865999095141887
epochlock_op	2	751.344496011734	2.3479515500366688
epochlock_op	4	725.5382130146027	2.267306915670633
epochlock_op	8	709.1062309741974	2.215956971794367
epochlock_op	16	704.4725120067596	2.201476600021124
epochlock_op	32	707.152428150177	2.209851337969303
marblerun		779.6585290431976	2.4364329032599925
